,customer_id,cluster_label,gender,past_3_years_bike_related_purchases,job_title,wealth_segment,deceased_indicator,owns_car,tenure,age
26,28,0,M,5,Senior Quality Engineer,Affluent Customer,N,Yes,21.0,47.0
27,29,1,F,62,Safety Technician III,Mass Customer,N,No,19.0,52.0
28,30,1,M,18,IT,Affluent Customer,N,Yes,6.0,59.0
29,31,1,F,3,Staff Accountant III,High Net Worth,N,Yes,14.0,58.0
30,32,0,F,17,Legal Assistant,Affluent Customer,N,No,4.0,26.0
31,33,0,M,44,Product Engineer,Affluent Customer,N,Yes,11.0,63.0
32,34,1,U,59,Legal Assistant,Affluent Customer,N,No,20.0,177.0
33,35,1,F,40,Information Systems Manager,High Net Worth,N,Yes,16.0,57.0
34,36,0,F,33,VP Quality Control,Affluent Customer,N,No,22.0,43.0
35,37,1,F,46,Social Worker,High Net Worth,N,No,16.0,35.0
36,38,0,F,37,Senior Cost Accountant,Affluent Customer,N,No,20.0,65.0
37,39,0,M,5,Assistant Media Planner,Mass Customer,N,No,22.0,42.0
38,40,0,F,91,Payment Adjustment Coordinator,Affluent Customer,N,No,14.0,39.0
39,41,1,M,64,Food Chemist,Mass Customer,N,No,16.0,45.0
40,42,0,F,24,Accountant III,Mass Customer,N,No,18.0,44.0
41,43,0,F,38,Director of Sales,Mass Customer,N,No,5.0,38.0
42,44,1,M,63,Assistant Media Planner,Affluent Customer,N,Yes,17.0,39.0
43,45,1,M,64,Senior Financial Analyst,Mass Customer,N,No,8.0,45.0
44,47,0,M,51,Registered Nurse,Affluent Customer,N,No,2.0,28.0
45,48,0,F,46,Biostatistician II,Mass Customer,N,Yes,8.0,45.0
46,49,0,M,63,VP Quality Control,Affluent Customer,N,No,1.0,27.0
47,50,0,M,38,Account Executive,Mass Customer,N,Yes,16.0,40.0
48,51,0,M,68,Computer Systems Analyst II,Mass Customer,N,No,18.0,61.0
49,52,0,M,57,Financial Services,Mass Customer,N,Yes,13.0,32.0
50,53,0,F,22,Software Test Engineer II,Mass Customer,N,No,16.0,67.0
51,54,0,F,2,Sales Associate,Mass Customer,N,Yes,18.0,54.0
52,55,0,M,48,Paralegal,Affluent Customer,N,Yes,7.0,64.0
53,56,0,M,44,VP Sales,Mass Customer,N,Yes,4.0,24.0
54,57,0,M,87,Chief Design Engineer,Mass Customer,N,Yes,13.0,32.0
55,58,1,F,26,Office Assistant III,Affluent Customer,N,Yes,17.0,53.0
56,59,1,M,60,Physical Therapy Assistant,High Net Worth,N,No,3.0,21.0
57,60,0,F,18,Manufacturing,Mass Customer,N,No,10.0,51.0
58,61,0,F,47,Help Desk Operator,High Net Worth,N,No,13.0,61.0
59,62,1,F,38,IT,Mass Customer,N,Yes,22.0,41.0
60,63,1,F,58,Senior Quality Engineer,Mass Customer,N,Yes,16.0,55.0
61,64,0,M,73,Legal Assistant,High Net Worth,N,No,4.0,43.0
62,65,0,M,21,Information Systems Manager,Affluent Customer,N,Yes,15.0,45.0
63,66,1,M,46,Account Executive,High Net Worth,N,No,1.0,19.0
64,67,1,M,67,Web Developer II,Mass Customer,N,No,18.0,60.0
65,68,0,F,37,Information Systems Manager,Affluent Customer,N,No,9.0,47.0
66,69,0,F,16,Web Developer II,Mass Customer,N,No,6.0,51.0
67,70,1,M,78,Paralegal,Affluent Customer,N,No,8.0,28.0
68,71,1,M,30,Research Associate,Affluent Customer,N,Yes,12.0,36.0
69,72,1,M,93,Administrative Officer,Affluent Customer,N,Yes,16.0,49.0
70,73,1,F,16,Teacher,Affluent Customer,N,Yes,5.0,60.0
71,75,0,F,28,VP Product Management,Mass Customer,N,No,19.0,42.0
72,76,1,F,20,Statistician II,High Net Worth,N,Yes,18.0,43.0
73,77,1,M,79,Automation Specialist IV,Mass Customer,N,No,7.0,31.0
74,78,0,M,37,Business Systems Development Analyst,Affluent Customer,N,No,8.0,36.0
75,79,0,F,76,Account Executive,Mass Customer,N,No,18.0,52.0
76,80,1,M,11,Data Coordiator,Mass Customer,N,No,13.0,43.0
77,81,1,F,58,Health,High Net Worth,N,No,13.0,34.0
78,82,1,F,93,Software Test Engineer III,High Net Worth,N,No,19.0,55.0
79,83,0,M,97,Internal Auditor,Mass Customer,N,Yes,18.0,54.0
80,84,1,M,78,Accountant III,Mass Customer,N,Yes,14.0,63.0
81,85,0,M,1,Analyst Programmer,Mass Customer,N,No,8.0,62.0
82,86,0,M,75,Occupational Therapist,High Net Worth,N,Yes,7.0,32.0
83,87,1,M,78,Editor,Mass Customer,N,No,8.0,47.0
84,88,0,F,41,Help Desk Operator,High Net Worth,N,Yes,7.0,55.0
85,89,0,M,74,Speech Pathologist,Mass Customer,N,Yes,14.0,54.0
86,90,0,M,76,Quality Control Specialist,Mass Customer,N,No,11.0,36.0
87,91,1,M,69,Senior Financial Analyst,Affluent Customer,N,Yes,17.0,66.0
88,92,1,F,98,Recruiting Manager,Mass Customer,N,No,12.0,40.0
89,93,0,M,63,Project Manager,Mass Customer,N,Yes,10.0,44.0
90,94,1,M,33,Civil Engineer,Mass Customer,N,No,21.0,46.0
91,95,1,F,67,Software Engineer III,Affluent Customer,N,Yes,8.0,60.0
92,96,0,M,33,Nuclear Power Engineer,Mass Customer,N,No,15.0,52.0
93,97,1,M,16,Community Outreach Specialist,Mass Customer,N,Yes,10.0,41.0
94,98,0,F,19,Safety Technician IV,Mass Customer,N,No,7.0,65.0
95,99,1,M,97,VP Accounting,Mass Customer,N,No,3.0,22.0
96,100,1,M,80,General Manager,Mass Customer,N,Yes,4.0,52.0
97,101,0,M,83,Nurse Practicioner,High Net Worth,N,No,11.0,45.0
98,102,1,M,51,Quality Control Specialist,Affluent Customer,N,No,16.0,64.0
99,103,0,F,49,Product Engineer,Affluent Customer,N,Yes,4.0,24.0
100,104,1,F,40,Automation Specialist II,Mass Customer,N,Yes,9.0,42.0
101,105,1,F,25,Recruiting Manager,Mass Customer,N,No,1.0,19.0
102,106,1,M,54,Software Test Engineer III,High Net Worth,N,Yes,18.0,54.0
103,107,1,F,97,Nurse Practicioner,Mass Customer,N,Yes,9.0,30.0
104,109,0,M,16,Marketing Assistant,Affluent Customer,N,Yes,4.0,42.0
105,110,1,M,23,Financial Services,Affluent Customer,N,No,1.0,20.0
106,111,0,F,65,Analyst Programmer,Mass Customer,N,No,2.0,27.0
107,112,1,F,88,Marketing Manager,High Net Worth,N,No,12.0,45.0
108,113,1,M,67,Staff Scientist,Mass Customer,N,No,20.0,64.0
109,114,0,F,10,Teacher,Affluent Customer,N,No,8.0,35.0
110,115,0,M,77,Account Executive,Mass Customer,N,No,18.0,39.0
111,116,0,M,49,Assistant Professor,Affluent Customer,N,Yes,2.0,22.0
112,117,1,F,75,Marketing Manager,Mass Customer,N,No,15.0,39.0
113,118,0,M,43,Budget/Accounting Analyst IV,High Net Worth,N,No,19.0,61.0
114,119,1,M,9,Associate Professor,High Net Worth,N,Yes,9.0,39.0
115,120,1,M,80,Legal Assistant,High Net Worth,N,Yes,4.0,42.0
116,121,1,M,82,Graphic Designer,Mass Customer,N,No,15.0,63.0
117,122,1,M,87,Quality Control Specialist,Mass Customer,N,Yes,12.0,42.0
118,123,0,F,85,Analyst Programmer,High Net Worth,N,No,15.0,32.0
119,124,0,F,27,Administrative Assistant II,High Net Worth,N,Yes,5.0,25.0
120,125,1,F,94,Computer Systems Analyst II,Mass Customer,N,No,16.0,61.0
121,126,0,M,53,Administrative Officer,Mass Customer,N,Yes,3.0,28.0
122,127,1,F,81,Compensation Analyst,Mass Customer,N,No,19.0,46.0
123,128,1,M,73,Systems Administrator III,Mass Customer,N,Yes,12.0,43.0
124,129,1,M,64,Financial Advisor,High Net Worth,N,Yes,19.0,35.0
125,130,0,M,32,Chemical Engineer,Mass Customer,N,No,1.0,23.0
126,131,0,F,57,Administrative Officer,High Net Worth,N,No,8.0,56.0
127,132,1,F,5,Web Designer I,Mass Customer,N,Yes,9.0,57.0
128,133,0,M,12,VP Accounting,Mass Customer,N,Yes,16.0,43.0
129,134,0,F,34,Legal Assistant,Affluent Customer,N,Yes,5.0,23.0
130,135,0,F,18,Internal Auditor,Mass Customer,N,No,3.0,46.0
131,136,1,M,46,Senior Developer,High Net Worth,N,Yes,7.0,47.0
132,137,0,M,27,Office Assistant II,High Net Worth,N,No,10.0,33.0
133,138,0,M,5,Recruiter,Affluent Customer,N,Yes,13.0,35.0
134,139,0,M,1,Operator,Affluent Customer,N,No,4.0,56.0
135,140,1,M,9,Programmer Analyst III,Mass Customer,N,No,2.0,26.0
136,141,0,M,67,Teacher,High Net Worth,N,Yes,10.0,66.0
137,142,1,M,57,Quality Engineer,Affluent Customer,N,No,17.0,53.0
138,143,0,M,19,Operator,Mass Customer,N,Yes,11.0,63.0
139,145,1,M,33,Account Executive,Mass Customer,N,No,4.0,23.0
140,146,0,M,34,Quality Control Specialist,Mass Customer,N,No,8.0,36.0
141,147,1,F,32,Analog Circuit Design manager,Mass Customer,N,Yes,10.0,47.0
142,148,0,F,69,Programmer Analyst III,Mass Customer,N,Yes,5.0,39.0
143,149,1,F,41,Research Nurse,Mass Customer,N,Yes,1.0,26.0
144,150,0,M,6,Cost Accountant,Affluent Customer,N,No,17.0,37.0
145,151,1,M,36,Marketing Manager,Mass Customer,N,Yes,13.0,56.0
146,152,0,F,5,Compensation Analyst,Mass Customer,N,No,16.0,40.0
147,153,1,F,73,Assistant Media Planner,Mass Customer,N,Yes,12.0,43.0
148,154,1,F,90,Junior Executive,Mass Customer,N,No,11.0,63.0
149,155,0,M,4,Quality Engineer,Mass Customer,N,No,10.0,35.0
150,156,1,F,23,Cost Accountant,Mass Customer,N,Yes,11.0,41.0
151,157,0,M,97,Financial Advisor,Affluent Customer,N,No,16.0,46.0
152,158,1,M,99,Internal Auditor,Affluent Customer,N,No,5.0,36.0
153,159,1,M,90,Research Nurse,Affluent Customer,N,No,13.0,33.0
154,160,1,M,5,Registered Nurse,Mass Customer,N,No,18.0,56.0
155,162,1,M,90,Nurse Practicioner,Mass Customer,N,No,15.0,41.0
156,163,1,F,58,Librarian,High Net Worth,N,Yes,14.0,44.0
157,164,0,F,55,Senior Editor,Affluent Customer,N,Yes,1.0,21.0
158,165,0,M,61,Administrative Officer,Mass Customer,N,Yes,12.0,37.0
159,166,0,M,54,Structural Analysis Engineer,Affluent Customer,N,No,6.0,65.0
160,167,0,F,95,Health,High Net Worth,N,Yes,17.0,51.0
161,169,1,M,20,Data Coordiator,High Net Worth,N,Yes,5.0,63.0
162,170,0,M,80,Pharmacist,High Net Worth,N,No,21.0,45.0
163,171,0,F,62,Assistant Manager,Mass Customer,N,No,10.0,50.0
164,172,0,M,54,Editor,Affluent Customer,N,Yes,6.0,32.0
165,173,0,F,99,General Manager,Affluent Customer,N,No,1.0,24.0
166,174,1,F,93,Food Chemist,Mass Customer,N,No,12.0,31.0
167,175,0,M,36,Quality Engineer,Affluent Customer,N,No,5.0,45.0
168,176,0,M,39,Accountant I,Mass Customer,N,No,10.0,29.0
169,177,1,F,25,Professor,High Net Worth,N,No,4.0,31.0
170,179,0,M,23,Environmental Tech,High Net Worth,N,Yes,6.0,54.0
171,180,1,F,16,Web Designer III,Affluent Customer,N,No,14.0,49.0
172,181,0,F,49,Senior Editor,Mass Customer,N,No,9.0,38.0
173,182,1,M,99,Sales Associate,Affluent Customer,N,Yes,7.0,28.0
174,183,1,F,7,Geologist III,Affluent Customer,N,No,3.0,23.0
175,184,0,M,40,Marketing Manager,High Net Worth,N,Yes,7.0,49.0
176,185,1,M,80,Property,Mass Customer,N,Yes,13.0,41.0
177,186,0,F,46,Software Test Engineer I,Mass Customer,N,No,3.0,46.0
178,187,0,M,97,Structural Engineer,Mass Customer,N,No,11.0,67.0
179,188,0,F,54,Safety Technician II,High Net Worth,N,Yes,13.0,45.0
180,189,1,M,73,Safety Technician I,Affluent Customer,N,No,10.0,39.0
181,190,1,F,42,Registered Nurse,Affluent Customer,N,No,10.0,42.0
182,191,1,M,22,Help Desk Operator,Affluent Customer,N,Yes,6.0,60.0
183,192,1,F,2,Junior Executive,Mass Customer,N,Yes,8.0,42.0
184,193,1,M,13,Recruiting Manager,Mass Customer,N,Yes,12.0,56.0
185,194,0,F,4,Web Developer III,Affluent Customer,N,No,10.0,46.0
186,195,0,F,34,Project Manager,Mass Customer,N,No,6.0,62.0
187,196,0,M,90,Programmer Analyst II,High Net Worth,N,No,6.0,55.0
188,198,1,F,82,Assistant Media Planner,Mass Customer,N,No,16.0,39.0
189,199,0,F,61,Junior Executive,Mass Customer,N,Yes,21.0,43.0
190,200,0,M,7,Physical Therapy Assistant,Affluent Customer,N,Yes,19.0,64.0
191,201,1,M,45,Design Engineer,Mass Customer,N,Yes,11.0,55.0
192,202,1,F,38,Librarian,Affluent Customer,N,Yes,16.0,57.0
193,203,0,M,71,Senior Quality Engineer,Mass Customer,N,Yes,11.0,57.0
194,204,0,M,56,Editor,Mass Customer,N,No,5.0,44.0
195,205,1,M,18,Administrative Assistant II,Mass Customer,N,Yes,6.0,62.0
196,206,1,F,98,Statistician I,Mass Customer,N,Yes,14.0,66.0
197,208,1,M,57,Office Assistant III,High Net Worth,N,No,5.0,26.0
198,209,0,M,9,Analog Circuit Design manager,Affluent Customer,N,Yes,6.0,63.0
199,210,0,M,50,Assistant Manager,Mass Customer,N,No,18.0,57.0
200,211,1,F,6,VP Marketing,Mass Customer,N,Yes,5.0,47.0
201,212,0,F,21,Desktop Support Technician,Affluent Customer,N,No,1.0,19.0
202,213,1,M,13,Actuary,High Net Worth,N,Yes,6.0,24.0
203,214,0,M,82,Food Chemist,Mass Customer,N,No,6.0,63.0
204,215,1,F,37,Assistant Professor,High Net Worth,N,Yes,18.0,46.0
205,216,0,F,12,Quality Engineer,High Net Worth,N,Yes,7.0,26.0
206,217,1,F,63,Manufacturing,High Net Worth,N,No,16.0,41.0
207,218,1,F,37,Administrative Officer,High Net Worth,N,Yes,8.0,27.0
208,219,0,M,9,Database Administrator III,Mass Customer,N,No,7.0,56.0
209,220,0,F,79,Electrical Engineer,High Net Worth,N,No,9.0,66.0
210,221,1,F,14,Tax Accountant,Mass Customer,N,No,14.0,41.0
211,222,0,M,89,Clinical Specialist,Mass Customer,N,No,16.0,42.0
212,223,0,M,13,VP Sales,Affluent Customer,N,Yes,14.0,37.0
213,224,1,M,2,Compensation Analyst,Affluent Customer,N,No,17.0,53.0
214,225,1,F,84,Pharmacist,Affluent Customer,N,No,13.0,44.0
215,226,0,M,96,Database Administrator IV,Mass Customer,N,No,20.0,43.0
216,227,1,M,99,Accountant I,Mass Customer,N,No,18.0,47.0
217,228,1,F,59,Systems Administrator II,High Net Worth,N,No,12.0,34.0
218,229,0,M,30,Property,High Net Worth,N,No,19.0,55.0
219,230,1,F,74,Internal Auditor,High Net Worth,N,No,11.0,66.0
220,231,1,M,48,Design Engineer,Mass Customer,N,Yes,3.0,25.0
221,232,0,F,94,Professor,Mass Customer,N,No,12.0,33.0
222,233,0,M,34,Environmental Tech,Mass Customer,N,No,13.0,34.0
223,234,0,F,71,Chief Design Engineer,High Net Worth,N,No,12.0,51.0
224,235,1,F,30,Social Worker,Mass Customer,N,No,15.0,44.0
225,236,0,M,79,Research Nurse,Affluent Customer,N,No,14.0,66.0
226,237,1,M,18,Account Coordinator,High Net Worth,N,Yes,11.0,47.0
227,238,0,M,54,Programmer III,Mass Customer,N,Yes,14.0,37.0
228,239,1,M,62,Registered Nurse,Affluent Customer,N,No,3.0,28.0
229,240,1,M,49,Administrative Assistant III,High Net Worth,N,Yes,15.0,31.0
230,241,1,M,94,Quality Engineer,Mass Customer,N,No,20.0,33.0
231,242,1,M,17,Nurse,Affluent Customer,N,No,8.0,29.0
232,243,1,F,94,Teacher,High Net Worth,N,Yes,14.0,44.0
233,244,1,M,57,Retail,Affluent Customer,N,No,8.0,46.0
234,245,0,F,6,Associate Professor,Affluent Customer,N,No,1.0,19.0
235,246,0,F,63,Technical Writer,High Net Worth,N,No,9.0,30.0
236,247,1,F,62,Staff Accountant II,High Net Worth,N,Yes,13.0,37.0
237,248,0,F,76,Clinical Specialist,Affluent Customer,N,Yes,12.0,43.0
238,249,0,M,65,Quality Control Specialist,High Net Worth,N,No,9.0,28.0
239,250,1,M,53,Legal Assistant,Mass Customer,N,Yes,13.0,33.0
240,251,1,F,88,VP Sales,Affluent Customer,N,Yes,10.0,43.0
241,252,1,F,39,Account Coordinator,Mass Customer,N,Yes,13.0,38.0
242,253,0,F,82,Food Chemist,Mass Customer,N,Yes,1.0,23.0
243,254,0,F,98,Information Systems Manager,Mass Customer,N,No,14.0,59.0
244,255,1,F,2,Desktop Support Technician,Mass Customer,N,No,5.0,67.0
245,256,1,F,16,Director of Sales,High Net Worth,N,Yes,21.0,45.0
246,257,1,F,70,Sales Associate,Affluent Customer,N,Yes,19.0,55.0
247,258,1,F,24,Administrative Officer,High Net Worth,N,No,9.0,28.0
248,259,0,F,70,Senior Developer,High Net Worth,N,Yes,3.0,37.0
249,260,0,F,47,Senior Quality Engineer,High Net Worth,N,Yes,22.0,41.0
250,261,1,M,74,Structural Engineer,Mass Customer,N,No,8.0,43.0
251,262,0,M,97,Health,High Net Worth,N,Yes,10.0,43.0
252,263,1,F,89,Dental Hygienist,High Net Worth,N,No,7.0,35.0
253,264,1,M,31,Technical Writer,Mass Customer,N,No,11.0,43.0
254,265,1,M,74,Sales Representative,High Net Worth,N,Yes,18.0,55.0
255,266,1,F,69,Account Executive,Affluent Customer,N,No,18.0,31.0
256,268,1,F,60,Chemical Engineer,Mass Customer,N,No,10.0,42.0
257,269,0,M,55,Nurse Practicioner,Mass Customer,N,Yes,9.0,66.0
258,270,1,F,38,Budget/Accounting Analyst III,Mass Customer,N,Yes,17.0,50.0
259,271,0,F,51,Financial Advisor,Mass Customer,N,No,4.0,30.0
260,272,0,F,22,Product Engineer,Mass Customer,N,Yes,1.0,33.0
261,273,1,M,54,Computer Systems Analyst IV,Mass Customer,N,No,19.0,58.0
262,274,0,F,66,Social Worker,Mass Customer,N,Yes,14.0,44.0
263,275,1,M,7,VP Sales,High Net Worth,N,No,13.0,65.0
264,276,1,F,47,Financial Services,Mass Customer,N,No,22.0,31.0
265,277,1,F,69,VP Product Management,High Net Worth,N,No,15.0,65.0
266,278,0,M,22,Executive Secretary,Affluent Customer,N,Yes,4.0,23.0
267,279,0,F,0,Web Designer I,Mass Customer,N,No,11.0,39.0
268,280,1,M,15,Geologist I,Affluent Customer,N,Yes,5.0,26.0
269,281,1,F,51,Cost Accountant,High Net Worth,N,Yes,8.0,48.0
270,282,0,M,82,VP Quality Control,High Net Worth,N,Yes,11.0,31.0
271,283,1,F,34,Assistant Manager,Mass Customer,N,No,2.0,30.0
272,284,0,M,38,Financial Analyst,High Net Worth,N,Yes,9.0,35.0
273,285,1,F,3,Community Outreach Specialist,Mass Customer,N,No,12.0,43.0
274,286,1,M,99,Accounting Assistant II,Affluent Customer,N,Yes,11.0,31.0
275,287,1,F,41,Nuclear Power Engineer,Affluent Customer,N,No,4.0,35.0
276,288,0,M,71,Manufacturing,High Net Worth,N,No,9.0,35.0
277,289,0,F,43,Clinical Specialist,High Net Worth,N,No,10.0,51.0
278,291,0,F,63,Assistant Media Planner,Mass Customer,N,No,4.0,49.0
279,292,1,F,42,VP Product Management,Affluent Customer,N,Yes,9.0,59.0
280,293,0,M,80,Administrative Assistant III,Mass Customer,N,Yes,20.0,31.0
281,294,0,M,39,Recruiting Manager,High Net Worth,N,No,5.0,62.0
282,295,1,F,64,Database Administrator II,Mass Customer,N,Yes,18.0,56.0
283,296,0,M,34,Health,High Net Worth,N,Yes,17.0,48.0
284,297,0,F,33,Electrical Engineer,High Net Worth,N,No,16.0,61.0
285,298,0,M,69,Engineer I,High Net Worth,N,No,9.0,64.0
286,299,1,F,80,Budget/Accounting Analyst I,Mass Customer,N,Yes,7.0,64.0
287,300,1,M,88,Clinical Specialist,Mass Customer,N,No,9.0,64.0
288,301,1,F,54,Developer IV,High Net Worth,N,No,19.0,40.0
289,302,1,F,32,Health,Mass Customer,N,No,13.0,44.0
290,303,0,F,59,Assistant Professor,Mass Customer,N,Yes,14.0,46.0
291,304,0,M,36,VP Marketing,Mass Customer,N,Yes,15.0,52.0
292,305,1,F,1,Financial Analyst,Mass Customer,N,No,11.0,47.0
293,306,0,M,19,Registered Nurse,High Net Worth,N,No,18.0,47.0
294,307,0,M,55,Clinical Specialist,Affluent Customer,N,Yes,12.0,36.0
295,308,1,M,2,Database Administrator I,High Net Worth,N,No,4.0,38.0
296,309,0,F,53,Clinical Specialist,Mass Customer,N,Yes,21.0,46.0
297,310,0,F,0,Account Coordinator,Mass Customer,N,Yes,18.0,36.0
298,311,0,F,86,Internal Auditor,High Net Worth,N,No,12.0,63.0
299,312,0,M,44,Desktop Support Technician,Affluent Customer,N,Yes,6.0,63.0
300,313,0,M,70,Operator,Mass Customer,N,Yes,13.0,33.0
301,314,0,F,27,Marketing Assistant,High Net Worth,N,Yes,5.0,58.0
302,315,1,F,67,Chief Design Engineer,Affluent Customer,N,No,12.0,63.0
303,316,0,F,72,Environmental Specialist,Mass Customer,N,Yes,10.0,44.0
304,317,0,F,26,Automation Specialist II,Mass Customer,N,Yes,14.0,47.0
305,318,0,F,21,Programmer III,Affluent Customer,N,Yes,18.0,51.0
306,319,0,F,32,Retail,Mass Customer,N,Yes,14.0,49.0
307,320,1,M,19,Registered Nurse,Mass Customer,N,No,4.0,24.0
308,321,0,F,58,Marketing Manager,Mass Customer,N,No,18.0,47.0
309,322,1,F,19,Research Associate,Mass Customer,N,Yes,11.0,44.0
310,323,1,F,54,Senior Developer,Mass Customer,N,Yes,7.0,47.0
311,324,0,M,97,Computer Systems Analyst I,Mass Customer,N,Yes,15.0,34.0
312,325,1,F,98,Computer Systems Analyst I,Affluent Customer,N,Yes,17.0,49.0
313,326,0,F,74,Help Desk Operator,Mass Customer,N,No,6.0,41.0
314,327,0,F,10,Design Engineer,Mass Customer,N,No,12.0,52.0
315,328,0,F,87,Senior Developer,Mass Customer,N,No,12.0,30.0
316,329,0,M,25,Account Representative IV,High Net Worth,N,Yes,12.0,36.0
317,330,0,M,78,Recruiting Manager,High Net Worth,N,Yes,7.0,61.0
318,331,1,M,87,Desktop Support Technician,Mass Customer,N,Yes,3.0,22.0
319,332,0,F,23,Registered Nurse,High Net Worth,N,No,14.0,42.0
320,333,1,F,25,Sales Associate,Affluent Customer,N,Yes,8.0,55.0
321,334,1,F,71,Financial Advisor,Affluent Customer,N,Yes,3.0,21.0
322,335,1,F,20,Senior Editor,Affluent Customer,N,No,8.0,38.0
323,336,0,F,91,Manufacturing,High Net Worth,N,No,3.0,41.0
324,337,0,F,67,Statistician IV,High Net Worth,N,Yes,12.0,41.0
325,338,0,F,33,Health,Mass Customer,N,No,19.0,63.0
326,339,0,F,56,Human Resources Manager,Mass Customer,N,No,12.0,41.0
327,340,1,M,39,Argiculture,Mass Customer,N,Yes,17.0,47.0
328,341,1,M,10,GIS Technical Architect,Mass Customer,N,No,5.0,44.0
329,342,0,M,40,Programmer IV,High Net Worth,N,No,2.0,33.0
330,343,0,F,76,Recruiter,Affluent Customer,N,No,13.0,63.0
331,345,0,F,74,Senior Sales Associate,High Net Worth,N,Yes,17.0,32.0
332,346,0,M,68,Financial Analyst,Mass Customer,N,No,3.0,40.0
333,347,1,M,50,Marketing Manager,Mass Customer,N,No,9.0,55.0
334,348,1,M,20,Assistant Professor,Mass Customer,N,Yes,9.0,40.0
335,349,1,F,35,Computer Systems Analyst IV,High Net Worth,N,No,4.0,40.0
336,350,1,F,47,Clinical Specialist,Mass Customer,N,Yes,9.0,43.0
337,351,0,M,69,Pharmacist,Mass Customer,N,Yes,2.0,21.0
338,352,0,M,12,Sales Representative,Mass Customer,N,No,4.0,41.0
339,353,0,F,9,Information Systems Manager,Mass Customer,N,No,3.0,40.0
340,354,1,F,87,Legal Assistant,Mass Customer,N,No,9.0,40.0
341,355,1,F,97,Database Administrator II,Mass Customer,N,Yes,3.0,41.0
342,356,0,F,10,Librarian,High Net Worth,N,No,5.0,46.0
343,357,1,F,21,Director of Sales,Affluent Customer,N,No,18.0,52.0
344,358,0,F,54,Accounting Assistant IV,Mass Customer,N,No,18.0,35.0
345,359,0,F,2,Legal Assistant,Affluent Customer,N,Yes,6.0,62.0
346,360,1,F,64,Staff Scientist,Mass Customer,N,Yes,19.0,65.0
347,361,1,F,59,Software Engineer IV,Mass Customer,N,Yes,2.0,22.0
348,362,0,F,47,Software Engineer IV,High Net Worth,N,Yes,18.0,46.0
349,363,0,F,82,Project Manager,Mass Customer,N,Yes,7.0,33.0
350,364,0,F,96,Database Administrator III,Affluent Customer,N,No,11.0,44.0
351,365,1,F,98,VP Quality Control,High Net Worth,N,No,15.0,44.0
352,366,0,F,7,Librarian,High Net Worth,N,No,19.0,67.0
353,367,0,F,93,Programmer II,Mass Customer,N,Yes,12.0,36.0
354,368,0,F,32,Financial Services,High Net Worth,N,No,6.0,34.0
355,369,0,M,19,Actuary,Mass Customer,N,Yes,9.0,29.0
356,370,0,M,91,Telecommunications,Affluent Customer,N,Yes,3.0,22.0
357,371,0,M,7,Systems Administrator III,Mass Customer,N,No,7.0,66.0
358,372,1,F,19,Graphic Designer,Affluent Customer,N,Yes,4.0,33.0
359,373,0,F,95,Structural Analysis Engineer,High Net Worth,N,Yes,1.0,20.0
360,374,1,M,81,Senior Financial Analyst,Mass Customer,N,Yes,8.0,29.0
361,375,1,M,13,Automation Specialist II,Mass Customer,N,Yes,7.0,44.0
362,376,0,F,60,Financial Advisor,Mass Customer,N,Yes,19.0,54.0
363,377,0,M,65,Staff Scientist,Mass Customer,N,No,1.0,21.0
